Topic ID,Topic Word Scores,Generic Label
37,"[('impeachment', 0.070572743624638), ('impeached', 0.04600611689829397), ('impeach', 0.033872510140510015), ('unconstitutional', 0.03345899410785016), ('impeachbiden', 0.029638446372946266), ('impeaching', 0.012669321755655648), ('impeachmenttrial', 0.011894053862523402), ('senate', 0.010781616781788083), ('presidential', 0.010074206412038803), ('constitutional', 0.008693334104260167)]",Politics
38,"[('biden', 0.024288616642751122), ('vaccine', 0.022684050683772942), ('vaccination', 0.01634228572710926), ('unvaccinated', 0.0158158904314332), ('doses', 0.01522981193943049), ('veterans', 0.012413193475995593), ('million', 0.010472356714672745), ('vaccines', 0.010248648480918205), ('shots', 0.010229778269205465), ('mandate', 0.00905758448317961)]",Politics
39,"[('india', 0.04665812016585705), ('indian', 0.02468056516145748), ('muslims', 0.017249940442390185), ('sikhs', 0.016647431320516697), ('hindu', 0.015280368991080503), ('terrorism', 0.015087100822157121), ('hinduism', 0.011821686491004289), ('hindus', 0.011821686491004289), ('islamist', 0.011098287547011133), ('indias', 0.010186912660720337)]",Country
40,"[('dogecoin', 0.05118997312014085), ('elonmusk', 0.04775658295053662), ('tesla', 0.04225661865734596), ('doge', 0.04158540410387312), ('elon', 0.03714400896152849), ('ceo', 0.029760295779601414), ('btc', 0.025067768660044416), ('wwwbtceventtop', 0.021158469966325644), ('crypto', 0.020179959515809382), ('dogecoins', 0.01502506865806781)]",Economy
41,"[('climate', 0.10771264030182258), ('warming', 0.03030396375844185), ('fire', 0.02599960283147441), ('gulf', 0.02424317100675348), ('crisis', 0.017589520803698123), ('ocean', 0.016502030808466458), ('jobs', 0.013930121633229457), ('wildfires', 0.013010763372034996), ('pipeline', 0.010425993643215597), ('government', 0.010154632249221007)]",Nature
42,"[('cauliflower', 0.04345330704972411), ('whales', 0.036121206073960174), ('pizza', 0.03271410843051772), ('tuna', 0.028404521324656342), ('burger', 0.023925848936474946), ('food', 0.021952087622913494), ('eating', 0.02076079331747976), ('fries', 0.020170640116310208), ('sandwich', 0.018060603036980087), ('mcdonalds', 0.01682631047044077)]",Food
43,"[('risk', 0.1514506031953459), ('earthquake', 0.09944365775848396), ('california', 0.06893413499580418), ('angeles', 0.0608226840075999), ('los', 0.0608226840075999), ('httpstcoffqzgecwya', 0.058275486668705065), ('httpstco56hhmibdin', 0.05490091500421796), ('graph', 0.05018883466741363), ('area', 0.03306700614771207), ('near', 0.026543884236776928)]",Nature
44,"[('salton', 0.14244135612753472), ('sea', 0.13476933711268443), ('earthquake', 0.06655885029866784), ('angeles', 0.05124255429211713), ('los', 0.05124255429211713), ('warning', 0.04160322946390271), ('earthquakes', 0.03429522673639672), ('san', 0.032258624902301344), ('diego', 0.025985765483470178), ('bay', 0.02406525475503124)]",Nature
45,"[('warp', 0.14728682870888107), ('pfizer', 0.14413887468504297), ('speed', 0.13961462070844363), ('operation', 0.07016282015994102), ('igot4grands', 0.01926178859944158), ('pcee52', 0.017246825865255694), ('leadermcconnell', 0.01606814822540638), ('httpstcoxhmvv8hb4u', 0.010638375666813735), ('exporting', 0.010638375666813735), ('httpstcoq0havz6829', 0.010638375666813735)]",Health
46,"[('mcconnell', 0.07949289522829059), ('jurors', 0.020231570665466183), ('senate', 0.01922859531756238), ('republicans', 0.015058724119520677), ('gop', 0.01373132209993971), ('partisan', 0.011326932738802264), ('nonpartisan', 0.010606291850127432), ('justices', 0.010115785332733091), ('judicial', 0.010115785332733091), ('senators', 0.009776713292330867)]",Politics
47,"[('schools', 0.08786285539592696), ('teachers', 0.029923381366447885), ('school', 0.025478177891216862), ('uft', 0.0204759554707436), ('teacher', 0.016984666733285518), ('kids', 0.015111673814286632), ('students', 0.012443935779339228), ('quarantine', 0.009852915524303276), ('children', 0.009054558385200707), ('teaching', 0.009041865258132897)]",Society
48,"[('marjorie', 0.10231056902753054), ('greene', 0.10151158461233226), ('committees', 0.028870599015318535), ('her', 0.026202463748974787), ('susan', 0.024924466576309635), ('congresswoman', 0.023947966841700627), ('tanden', 0.016121788998072758), ('tandens', 0.016121788998072758), ('warren', 0.015135255888320534), ('kavanaugh', 0.012748810017245774)]",Politics
49,"[('russia', 0.06833293160798723), ('putin', 0.03381398830184648), ('ussr', 0.029813608530894264), ('kgb', 0.029813608530894264), ('putins', 0.023444435314446253), ('russias', 0.0223602063981707), ('kremlin', 0.016648380095999758), ('soviet', 0.014906804265447132), ('moscow', 0.01434614207621545), ('syria', 0.012146471881858918)]",Country
50,"[('knows', 0.17798508514744196), ('know', 0.05466608984392807), ('world', 0.04918348855260596), ('guatemala', 0.04758137121944791), ('surprised', 0.03690692250726404), ('engaged', 0.03172091414629861), ('trump', 0.027629076774394874), ('httpstco9lpgmda4aj', 0.020331117941021805), ('httpstcocbe4rouzme', 0.020331117941021805), ('httpstcowalteapri0', 0.020331117941021805)]",Politics
51,"[('media', 0.03985353600679665), ('news', 0.030994529493548126), ('fox', 0.022175126066903594), ('snopes', 0.013231719487595994), ('maga', 0.012668225671145969), ('trumps', 0.011741268006029327), ('journalists', 0.011481347819515323), ('reporter', 0.0109178540030653), ('political', 0.010721841246347381), ('propaganda', 0.010255317981682745)]",Politics
52,"[('cuban', 0.06112913562461348), ('cuba', 0.057491427648405494), ('cubas', 0.03494695251553084), ('regimes', 0.01966466860937747), ('haiti', 0.016986171685076507), ('communist', 0.016958337588044336), ('cubans', 0.013964289311291683), ('havana', 0.013964289311291683), ('regime', 0.013829600040889593), ('castro', 0.011042699509142282)]",Country
53,"[('insurrection', 0.0694415106908076), ('january', 0.033947298895803966), ('armed', 0.027174916621352928), ('democracy', 0.02359974961742978), ('violent', 0.018841434488441472), ('attack', 0.018828026648690828), ('war', 0.012690664293108464), ('coup', 0.01259056284718418), ('assault', 0.011147358253799117), ('terrorists', 0.010997541987158077)]",Society
54,"[('xinjiang', 0.07834016569938121), ('genocide', 0.07736465346980469), ('tigray', 0.0336660645420622), ('ethiopia', 0.024715853382490625), ('chinese', 0.01997274071959625), ('china', 0.018214176866070277), ('ethnic', 0.01774746709589789), ('tigrayans', 0.015627488863697886), ('famine', 0.015627488863697886), ('beijings', 0.015627488863697886)]",Country
55,"[('california', 0.08626402828829777), ('earthquake', 0.08484789508748068), ('angeles', 0.08303277378069766), ('los', 0.08303277378069766), ('area', 0.08061035139234878), ('ridgecrest', 0.07338312933524942), ('diego', 0.03238999929939638), ('san', 0.032167052031610945), ('signals', 0.02773312159851631), ('forecasts', 0.022966095861863066)]",Nature
56,"[('shipping', 0.1293507447755741), ('stock', 0.09833674817541999), ('tshirts', 0.07173071038107724), ('presale', 0.04688887062889251), ('shirts', 0.0447204127963414), ('order', 0.03839852489606198), ('tshirt', 0.033296760191999515), ('coupon', 0.03125924708592834), ('amazon', 0.025209132491325646), ('ship', 0.024730186864168235)]",Economy
57,"[('pfizer', 0.06717968187509246), ('developed', 0.02485371233369524), ('vaccine', 0.021676968671237917), ('vaccines', 0.019431843406889467), ('develop', 0.016959696672278462), ('scientists', 0.016569141555796828), ('german', 0.016418147493682558), ('companies', 0.016238917361978807), ('development', 0.009414362576844183), ('germany', 0.009414362576844183)]",Health
58,"[('harris', 0.07429222691519738), ('kamala', 0.07236802439796954), ('border', 0.07135850680093296), ('vice', 0.02683951438328257), ('vp', 0.022566085580291433), ('kamalas', 0.020223487177097103), ('immigration', 0.017122653396622844), ('immigrants', 0.013648641874739513), ('guatemala', 0.013482324784731402), ('migrants', 0.010208902444424694)]",Politics
59,"[('dogs', 0.17470913562570548), ('military', 0.08242317788543009), ('dod', 0.04280183318091266), ('kabul', 0.04135533970446726), ('afghanistan', 0.03098055784555746), ('animal', 0.029513086572530604), ('cages', 0.02899127921427196), ('dog', 0.019919778264790185), ('karzai', 0.01986823171876433), ('animals', 0.01922644687126428)]",Country
60,"[('babbitt', 0.09054422803896578), ('babbit', 0.06557297429997819), ('killed', 0.04010337113840993), ('executed', 0.02293012365453429), ('babbitts', 0.017697269331720455), ('byrd', 0.01687882815831567), ('ashlibabbitt', 0.01687882815831567), ('terrorist', 0.014455377636032107), ('accused', 0.01190244165814708), ('cop', 0.01166522513200469)]",Society
61,"[('catholic', 0.10539395264613538), ('communion', 0.0564232569557952), ('bishops', 0.034943479475726735), ('catholics', 0.034943479475726735), ('abortion', 0.03125648052604903), ('pope', 0.02706214437963179), ('deny', 0.018070895419716567), ('priests', 0.016220453557424488), ('conscience', 0.015227882913340854), ('hypocrites', 0.013977391790290693)]",Society
62,"[('legitimate', 0.07069528679137324), ('president', 0.049864325474145405), ('2021', 0.04727423669872031), ('march', 0.046890528930998134), ('donald', 0.03645603867711488), ('competent', 0.029533264894829735), ('trumpwon', 0.02725452847435431), ('treason', 0.022907745004508713), ('leader', 0.021639870221579476), ('potus', 0.01676723283549377)]",Politics
63,"[('fda', 0.0670896424676848), ('pfizer', 0.06061585928075157), ('approved', 0.042151606942053284), ('approval', 0.03324756330070772), ('pfizers', 0.026275268018154205), ('vaccine', 0.02039235148021916), ('effectiveness', 0.018784759956350722), ('vaccines', 0.016795004020380016), ('eua', 0.015209266919559265), ('pharma', 0.011116415003736106)]",Health
64,"[('myocarditis', 0.05156456725928755), ('heart', 0.026337726680482138), ('vaccine', 0.023745920127928737), ('hospitalized', 0.020004998948657874), ('covid', 0.016263286395691627), ('immunity', 0.013848451512896995), ('pericarditis', 0.01349368800455475), ('adolescents', 0.01349368800455475), ('cardiac', 0.01286964880183939), ('inflammation', 0.012385606391179499)]",Health
65,"[('daunte', 0.09467809099250632), ('freshener', 0.07559690298265195), ('dauntewright', 0.039387954794820386), ('mirror', 0.03733796377972456), ('police', 0.02724984352457573), ('wrights', 0.015738848641824), ('justice', 0.015088207754756847), ('killed', 0.013951242037956342), ('cops', 0.013513688601490572), ('murder', 0.013410407591253334)]",Society
66,"[('floyd', 0.10895989140517842), ('overdose', 0.047126060604358894), ('drugs', 0.028616335450333097), ('floyds', 0.024348460045066862), ('overdosed', 0.024348460045066862), ('killed', 0.022497570607856274), ('died', 0.02235909117893236), ('drug', 0.01746685676455681), ('death', 0.016460653714307775), ('sacrifice', 0.014013619374641942)]",Politics
67,"[('mcallen', 0.05416051137137709), ('texas', 0.03970099391964107), ('migrants', 0.029173213125599583), ('immigrants', 0.026001798623266684), ('tx', 0.023907318223328932), ('texans', 0.021718572700477837), ('covid', 0.019111617256415546), ('infected', 0.01586236873322143), ('migrant', 0.013824501704268907), ('unvaccinated', 0.01226211748024072)]",Society
68,"[('vitamin', 0.0701492686233462), ('zinc', 0.03819067723825082), ('supplements', 0.03329308773372448), ('diet', 0.03133115049395064), ('detox', 0.027203747099561543), ('supplement', 0.019317945417515754), ('psoriasis', 0.019317945417515754), ('herdimmunity', 0.019317945417515754), ('treatment', 0.019001512817617666), ('naturalimmunity', 0.018135831399707696)]",Health
69,"[('china', 0.05296852531696706), ('taiwan', 0.050313204965179825), ('chinas', 0.031626558694551714), ('humanrights', 0.030328905292399417), ('civilizations', 0.018178478129514137), ('multilateralism', 0.018178478129514137), ('tibet', 0.017066091001645373), ('nationalism', 0.017066091001645373), ('genocide', 0.01687377215596563), ('countries', 0.01573125472140481)]",Country
70,"[('soccer', 0.06662174456538916), ('olympics', 0.05778042799577509), ('anthem', 0.04404337043458003), ('olympic', 0.04281507816504012), ('kneeling', 0.034792569170571136), ('womens', 0.03422485271353286), ('athlete', 0.022021685217290015), ('belarus', 0.01759908440427066), ('teammates', 0.016522151846214445), ('wwii', 0.015165377281098933)]",Sports
71,"[('tucker', 0.14638633395791106), ('carlson', 0.11198234254212579), ('nsa', 0.04540568227700794), ('tuckercarlson', 0.04073143444478433), ('carlsons', 0.03538513775933176), ('spying', 0.032966856796460005), ('mcgowan', 0.023590091839554503), ('httpstco9pfmyeg7qc', 0.014551098327570275), ('patriotismtucker', 0.014551098327570275), ('tuckers', 0.014551098327570275)]",Politics
72,"[('smash', 0.07062985830533283), ('sakurai', 0.07062985830533283), ('minecraft', 0.06797338745635415), ('nickelodeon', 0.039440805227427995), ('nintendoswitch', 0.039440805227427995), ('spiderman', 0.039440805227427995), ('gamecube', 0.039440805227427995), ('nintendo', 0.037027322441069876), ('mario', 0.037027322441069876), ('disney', 0.028299125603013762)]",Games
73,"[('desantis', 0.07577867924993281), ('publix', 0.0563872907126818), ('florida', 0.046522957778396365), ('treatment', 0.03926216202676421), ('antibody', 0.02964642883114144), ('gov', 0.029603775821686433), ('floridas', 0.02777802564858819), ('donated', 0.023673618601301263), ('vaccinate', 0.018348370123854065), ('pharmacies', 0.01719808598293298)]",Health
74,"[('asian', 0.04531302136072357), ('crimes', 0.029300908519093553), ('atlanta', 0.019419866297452956), ('asianamericans', 0.019122814655722666), ('antiasian', 0.0171223898922019), ('riot', 0.016961060939851485), ('supremacists', 0.01330779872342176), ('violence', 0.013052542708067877), ('cities', 0.01220248197809389), ('cops', 0.010946152768114538)]",Society
75,"[('rogan', 0.14401749545055761), ('ivermectin', 0.05711909803348629), ('horse', 0.050335845957152535), ('dewormer', 0.03678726352017578), ('treat', 0.03431151418754427), ('covid19', 0.03064775858717519), ('antibiotics', 0.022809140372488483), ('drug', 0.021976372280363216), ('horses', 0.01763159339563384), ('antibodies', 0.01524554458131389)]",Health
76,"[('video', 0.07966921833521759), ('tweet', 0.05411768939800726), ('response', 0.048819035836066484), ('archived', 0.04633605089655877), ('httpstcoxntbxxzpui', 0.025591616988698773), ('httpstcohlrodf4efn', 0.025591616988698773), ('httpstcoyvvgplfws8', 0.025591616988698773), ('httpstcovei4q4h4zg', 0.025591616988698773), ('httpstcovjj1yj9yul', 0.025591616988698773), ('httpstcoxt3ovxoylj', 0.025591616988698773)]",Social Media
